language_code,infinitive,mood,tense,pronoun,conjugated_form,batch,review_status,source_note
FR,être,Indicatif,Présent,je,suis,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Présent,tu,es,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Présent,"il (elle, on)",est,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Présent,nous,sommes,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Présent,vous,êtes,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Présent,ils (elles),sont,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Futur,je,serai,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Futur,tu,seras,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Futur,"il (elle, on)",sera,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Futur,nous,serons,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Futur,vous,serez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Futur,ils (elles),seront,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Passé composé,je,ai été,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Passé composé,tu,as été,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Passé composé,"il (elle, on)",a été,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Passé composé,nous,avons été,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Passé composé,vous,avez été,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Passé composé,ils (elles),ont été,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Imparfait,je,étais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Imparfait,tu,étais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Imparfait,"il (elle, on)",était,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Imparfait,nous,étions,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Imparfait,vous,étiez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Imparfait,ils (elles),étaient,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Conditionnel,Conditionnel présent,je,serais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Conditionnel,Conditionnel présent,tu,serais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Conditionnel,Conditionnel présent,"il (elle, on)",serait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Conditionnel,Conditionnel présent,nous,serions,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Conditionnel,Conditionnel présent,vous,seriez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Conditionnel,Conditionnel présent,ils (elles),seraient,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Impératif,Impératif,je,-,1,reviewed,high-frequency irregular paradigm; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,être,Impératif,Impératif,tu,sois,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Impératif,Impératif,"il (elle, on)",-,1,reviewed,high-frequency irregular paradigm; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,être,Impératif,Impératif,nous,soyons,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Impératif,Impératif,vous,soyez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Impératif,Impératif,ils (elles),-,1,reviewed,high-frequency irregular paradigm; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,être,Subjonctif,Subjonctif présent,je,sois,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Subjonctif,Subjonctif présent,tu,sois,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Subjonctif,Subjonctif présent,"il (elle, on)",soit,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Subjonctif,Subjonctif présent,nous,soyons,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Subjonctif,Subjonctif présent,vous,soyez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Subjonctif,Subjonctif présent,ils (elles),soient,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Passé Simple,je,fus,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Passé Simple,tu,fus,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Passé Simple,"il (elle, on)",fut,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Passé Simple,nous,fûmes,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Passé Simple,vous,fûtes,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Indicatif,Passé Simple,ils (elles),furent,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Subjonctif,Subjonctif imparfait,je,fusse,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Subjonctif,Subjonctif imparfait,tu,fusses,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Subjonctif,Subjonctif imparfait,"il (elle, on)",fût,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Subjonctif,Subjonctif imparfait,nous,fussions,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Subjonctif,Subjonctif imparfait,vous,fussiez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,être,Subjonctif,Subjonctif imparfait,ils (elles),fussent,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Présent,je,ai,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Présent,tu,as,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Présent,"il (elle, on)",a,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Présent,nous,avons,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Présent,vous,avez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Présent,ils (elles),ont,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Futur,je,aurai,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Futur,tu,auras,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Futur,"il (elle, on)",aura,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Futur,nous,aurons,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Futur,vous,aurez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Futur,ils (elles),auront,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Passé composé,je,ai eu,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Passé composé,tu,as eu,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Passé composé,"il (elle, on)",a eu,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Passé composé,nous,avons eu,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Passé composé,vous,avez eu,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Passé composé,ils (elles),ont eu,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Imparfait,je,avais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Imparfait,tu,avais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Imparfait,"il (elle, on)",avait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Imparfait,nous,avions,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Imparfait,vous,aviez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Imparfait,ils (elles),avaient,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Conditionnel,Conditionnel présent,je,aurais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Conditionnel,Conditionnel présent,tu,aurais,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Conditionnel,Conditionnel présent,"il (elle, on)",aurait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Conditionnel,Conditionnel présent,nous,aurions,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Conditionnel,Conditionnel présent,vous,auriez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Conditionnel,Conditionnel présent,ils (elles),auraient,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Impératif,Impératif,je,-,1,reviewed,high-frequency irregular paradigm; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,avoir,Impératif,Impératif,tu,aie,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Impératif,Impératif,"il (elle, on)",-,1,reviewed,high-frequency irregular paradigm; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,avoir,Impératif,Impératif,nous,ayons,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Impératif,Impératif,vous,ayez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Impératif,Impératif,ils (elles),-,1,reviewed,high-frequency irregular paradigm; QA recommended; French imperative only uses tu / nous / vous; placeholder - used for unsupported slot
FR,avoir,Subjonctif,Subjonctif présent,je,aie,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Subjonctif,Subjonctif présent,tu,aies,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Subjonctif,Subjonctif présent,"il (elle, on)",ait,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Subjonctif,Subjonctif présent,nous,ayons,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Subjonctif,Subjonctif présent,vous,ayez,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Subjonctif,Subjonctif présent,ils (elles),aient,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Passé Simple,je,eus,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Passé Simple,tu,eus,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Passé Simple,"il (elle, on)",eut,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Passé Simple,nous,eûmes,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Passé Simple,vous,eûtes,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Indicatif,Passé Simple,ils (elles),eurent,1,reviewed,high-frequency irregular paradigm; QA recommended
FR,avoir,Subjonctif,Subjonctif imparfait,je,eusse,1,reviewed,high-frequency irregular paradigm; QA recommended
