spanish,french,spanish synonyms,french synonyms
solo,seulement,solamente,uniquement
parte,partie,fragmento;porción;sección;segmento,portion;section
tiempo,temps,época;periodo,période
día,jour,jornada,journée
vida,vie,existencia;subsistencia,existence
siempre,toujours,,à jamais
gente,gens,pueblo;muchedumbre;personas,monde;population
mundo,monde,orbe;planeta;globo,univers;planète;globe
año,année,,an
nunca,jamais,jamás,
antes,avant,previamente,auparavant
trabajo,travail,labor;ocupación;oficio,emploi;boulot;labeur
lugar,lieu,sitio;paraje;ubicación,endroit;emplacement
país,pays,nación;territorio;patria,nation;territoire
casa,maison,vivienda;hogar;domicilio,habitation;demeure;foyer;logement
aquí,ici,acá,
caso,cas,asunto;situación;supuesto,affaire;situation
ciudad,ville,urbe;metrópoli,cité;métropole;agglomération
luego,ensuite,después;más tarde,après;plus tard
verdad,vérité,certeza;autenticidad,authenticité
historia,histoire,cuento;relato;narración,récit
nombre,nom,denominación,prénom;appellation
fuera,dehors,afuera,à l'extérieur
hombre,homme,varón;individuo;sujeto,mâle
grupo,groupe,conjunto;equipo,ensemble;collectif
mujer,femme,dama;señora,dame
sistema,système,método,méthode;organisation
sistema,système,conjunto,dispositif
persona,personne,individuo;sujeto;ser,individu;être
noche,nuit,,soirée
casi,presque,aproximadamente,quasiment
lado,côté,costado;flanco,flanc;bord
cosa,chose,objeto;ente;elemento,objet
dentro,à l'intérieur,adentro,dedans
familia,famille,parentela;clan,foyer;clan
pueblo,village,aldea;localidad,commune;bourg
problema,problème,inconveniente;dificultad,difficulté;souci
punto,point,cuestión;aspecto;detalle,aspect
guerra,guerre,contienda;conflicto;lucha,conflit;bataille
agua,eau,,liquide
semana,semaine,,
información,information,datos;noticia,info;nouvelle
dinero,argent,plata;pasta;efectivo,fric;pognon
madre,mère,mamá,maman
idea,idée,concepto;noción,concept
realidad,réalité,existencia,existence
real,réel,verdadero;auténtico,vrai;authentique
amor,amour,adoración;cariño;afecto,tendresse;affection
sociedad,société,comunidad;colectividad,communauté;collectivité
hijo,fils,vástago;nene,gosse
nivel,niveau,nivel de burbuja,
seguro,sûr,cierto,
mano,main,,
juego,jeu,partida;competición,partie;divertissement
grande,grand,gran;enorme,immense;vaste
cerca,près,cercano;próximo,proche
padre,père,papá,papa
amigo,ami,compañero;camarada,copain;camarade;pote
tierra,terre,suelo;planeta,sol;planète
seguridad,sécurité,certeza,
programa,programme,plan,plan;émission
cuerpo,corps,organismo,organisme
servicio,service,atención;prestación,prestation
cabeza,tête,,crâne;chef
libro,livre,obra;ejemplar,ouvrage;bouquin
proceso,processus,procedimiento;trámite,procédure;démarche
mes,mois,,
largo,long,extenso,étendu
realmente,vraiment,en verdad,effectivement;réellement
camino,chemin,senda;sendero,sentier;voie
salud,santé,bienestar;salubridad,bien-être
policía,policier,agente,flic
empresa,entreprise,compañía;sociedad;negocio,société;firme;boîte
obra,oeuvre,trabajo;pieza,ouvrage;pièce
calle,rue,vía;avenida,voie;avenue
allí,là,allá,là-bas
