spanish,french,english,russian,spanish synonyms,french synonyms,english synonyms,russian synonyms,tags,cefr_level
solo,seulement,only,только,solamente,uniquement;seul,just,лишь,adverb,A1
parte,partie,part,часть,fragmento;porción;sección;segmento,portion;section,portion;section,фрагмент,abstract_concepts;noun_thing,A2
tiempo,temps,time,время,época;periodo,,,,time;noun_thing,A1
día,jour,day,день,jornada,journée,,,time;noun_thing,A1
vida,vie,life,жизнь,existencia;subsistencia,existence,existence,существование,abstract_concepts;noun_thing,A1
siempre,toujours,always,всегда,,,,навсегда,time;adverb,A1
gente,gens,people,люди,pueblo;muchedumbre;personas,monde;population,crowd;population,народ,abstract_concepts;noun_person,A1
mundo,monde,world,мир,orbe;planeta;globo,univers;planète;globe,planet;globe,планета,places_geography;nature;noun_place,A1
año,année,year,год,,,,,time;noun_thing,A1
nunca,jamais,never,никогда,jamás,,,,time;adverb,A1
antes,avant,before,раньше,previamente,auparavant,previously,прежде,time;adverb,A1
trabajo,travail,work,работа,labor;ocupación;oficio,emploi;boulot;labeur,job;occupation,труд;занятие,work;noun_thing,A1
lugar,lieu,place,место,sitio;paraje;ubicación,endroit;emplacement,site;location,,places_geography;noun_place,A1
país,pays,country,страна,nación;territorio;patria,nation;territoire,nation,государство,places_geography;noun_place,A1
casa,maison,house,дом,vivienda;hogar;domicilio,habitation;demeure;foyer;logement,home;dwelling,жилище;очаг,house;noun_place,A1
aquí,ici,here,здесь,acá,,,,directions_positions;adverb,A1
caso,cas,case,случай,asunto;situación;supuesto,affaire;situation,situation,обстоятельство;ситуация,abstract_concepts;noun_thing,B1
ciudad,ville,city,город,urbe;metrópoli,cité;métropole;agglomération,metropolis,,places_geography;noun_place,A1
luego,ensuite,then,потом,después;más tarde,après;plus tard,later;afterwards,затем,time;adverb,A1
verdad,vérité,truth,правда,certeza;autenticidad,authenticité,,истина,abstract_concepts;noun_thing,A2
historia,histoire,story,история,cuento;relato;narración,récit,tale;narrative,рассказ;повесть,literature;noun_thing,A1
nombre,nom,name,имя,denominación,appellation;désignation,designation,название,abstract_concepts;noun_thing,A1
fuera,dehors,outside,снаружи,afuera,à l'extérieur,,вне,directions_positions;adverb,A1
hombre,homme,man,мужчина,varón;individuo;sujeto,individu,individual,человек,noun_person,A1
grupo,groupe,group,группа,conjunto;equipo,ensemble;collectif,team;collection,коллектив;команда,abstract_concepts;noun_thing,A2
mujer,femme,woman,женщина,dama;señora,dame,lady,дама;леди,noun_person,A1
sistema,système,system,система,método;conjunto,méthode,method,,abstract_concepts;noun_thing,A2
persona,personne,person,человек,individuo;sujeto;ser,individu;être,individual,индивид,noun_person,A1
noche,nuit,night,ночь,,,,,time;noun_thing,A1
casi,presque,almost,почти,aproximadamente,quasiment,nearly,,adverb,A2
lado,côté,side,сторона,costado;flanco,flanc;bord,flank,бок,directions_positions;noun_thing,A2
cosa,chose,thing,вещь,objeto;ente;elemento,objet,object,объект;предмет,noun_thing,A1
dentro,à l'intérieur,inside,внутри,adentro,dedans,,,directions_positions;adverb,A2
familia,famille,family,семья,parentela;clan,foyer;clan,clan,родня,family;noun_thing,A1
pueblo,village,village,деревня,aldea;localidad,commune;bourg,hamlet,село,places_geography;noun_place,A1
problema,problème,problem,проблема,inconveniente;dificultad,difficulté;souci,difficulty;issue,затруднение,abstract_concepts;noun_thing,A1
punto,point,point,точка,cuestión;aspecto;detalle,aspect,aspect,,shapes_measurements;noun_thing,A2
guerra,guerre,war,война,contienda;conflicto;lucha,conflit;bataille,conflict;battle,битва;сражение,law_society;noun_thing,A2
agua,eau,water,вода,,,,,drink;nature;noun_thing,A1
semana,semaine,week,неделя,,,,,time;noun_thing,A1
información,information,information,информация,datos;noticia,info;nouvelle,data;news,данные,media_communication;noun_thing,A1
dinero,argent,money,деньги,plata;pasta;efectivo,fric;pognon,cash,наличные,money;noun_thing,A1
madre,mère,mother,мать,mamá,maman,mom,мама,family;noun_person,A1
idea,idée,idea,идея,concepto;noción,concept,concept;notion,концепция;понятие,abstract_concepts;noun_thing,A2
realidad,réalité,reality,реальность,existencia,existence,existence,действительность,abstract_concepts;noun_thing,B1
real,réel,real,реальный,verdadero;auténtico,vrai;authentique,true;authentic,настоящий;истинный,abstract_concepts;adjective,A2
amor,amour,love,любовь,adoración;cariño;afecto,tendresse;affection,affection,привязанность,emotions;noun_thing,A1
sociedad,société,society,общество,comunidad;colectividad,communauté;collectivité,community,сообщество,law_society;noun_thing,B1
hijo,fils,son,сын,vástago;nene,gosse,,,family;noun_person,A1
nivel,niveau,level,уровень,,,,,shapes_measurements;abstract_concepts;noun_thing,A2
seguro,sûr,sure,уверенный,cierto,certain,certain,,abstract_concepts;adjective,A2
mano,main,hand,рука,,,,,body;noun_thing,A1
juego,jeu,game,игра,partida;competición,partie;divertissement,play;match,матч;состязание,sports;noun_thing,A1
grande,grand,big,большой,gran;enorme,immense;vaste,large;huge,огромный,shapes_measurements;adjective,A1
cerca,près,close,близко,cercano;próximo,proche,near,рядом,directions_positions;adverb,A1
padre,père,father,отец,papá,papa,dad,папа,family;noun_person,A1
amigo,ami,friend,друг,compañero;camarada,copain;camarade;pote,companion;mate,приятель;товарищ,emotions;noun_person,A1
tierra,terre,earth,земля,suelo;planeta,sol;planète,soil;ground,почва;грунт,nature;places_geography;noun_thing,A2
seguridad,sécurité,security,безопасность,,,,,law_society;abstract_concepts;noun_thing,B1
programa,programme,program,программа,plan,plan;émission,plan,план,technology;media_communication;noun_thing,A2
cuerpo,corps,body,тело,organismo,organisme,organism,организм,body;noun_thing,A1
servicio,service,service,сервис,atención;prestación,prestation,,обслуживание,work;abstract_concepts;noun_thing,A2
cabeza,tête,head,голова,,crâne;chef,,,body;noun_thing,A1
libro,livre,book,книга,obra;ejemplar,ouvrage;bouquin,work,произведение,literature;noun_thing,A1
proceso,processus,process,процесс,procedimiento;trámite,procédure;démarche,procedure,процедура,abstract_concepts;noun_thing,B1
mes,mois,month,месяц,,,,,time;noun_thing,A1
largo,long,long,длинный,extenso,étendu,,протяжённый,shapes_measurements;adjective,A1
realmente,vraiment,really,действительно,en verdad,effectivement;réellement,truly,правда,adverb,A1
camino,chemin,path,путь,senda;sendero,sentier;voie,way;trail,тропа;дорога,travel;places_geography;noun_place,A2
salud,santé,health,здоровье,bienestar;salubridad,bien-être,well-being,благополучие,health;noun_thing,A2
policía,policier,police,полиция,agente,flic,officer,правоохранители,law_society;professions;noun_person,A1
empresa,entreprise,company,компания,compañía;sociedad;negocio,société;firme;boîte,business;firm,фирма,work;noun_thing,A2
obra,œuvre,work,произведение,trabajo;pieza,ouvrage;pièce,piece,шедевр,art;noun_thing,A1
calle,rue,street,улица,vía;avenida,voie;avenue,road,дорога;проспект,transportation;places_geography;noun_place,A1
allí,là,there,там,allá,là-bas,,,directions_positions;adverb,A1
escuela,école,school,школа,colegio;academia,établissement scolaire,,,school;noun_place,A1
música,musique,music,музыка,melodía,mélodie,,,music;noun_thing,A1
pregunta,question,question,вопрос,cuestión;interrogante,interrogation,,,media_communication;noun_thing,A1
miedo,peur,fear,страх,temor;pavor,crainte;terreur,dread,боязнь,emotions;noun_thing,A2
propio,propre,own,собственный,característico,,,,abstract_concepts;adjective,A2
principal,principal,principal,основной,fundamental,,main;primary,главный,abstract_concepts;adjective,A2
imagen,image,image,изображение,figura;representación,représentation;illustration,picture,картина,media_communication;art;noun_thing,A2
palabra,mot,word,слово,vocablo;término,terme;vocable,term,термин,media_communication;noun_thing,A1
plan,plan,plan,план,proyecto;intención,projet;intention,project;scheme,проект;замысел,abstract_concepts;noun_thing,A2
campo,champ,field,поле,terreno,terrain,,,nature;places_geography;noun_place,A2
película,film,film,фильм,cinta;filme,long-métrage,movie,кино,media_communication;art;noun_thing,A1
respuesta,réponse,response,ответ,contestación,réplique,reply;answer,,media_communication;noun_thing,A1
precio,prix,price,цена,valor;costo,coût,cost,стоимость,money;shopping;noun_thing,A1
mercado,marché,market,рынок,zoco;feria,foire;bazar,bazaar;fair,базар;ярмарка,shopping;money;noun_place,A1
comida,nourriture,food,еда,alimento;manjar,aliment;bouffe,nourishment;meal,пища;продовольствие,food;noun_thing,A1
oportunidad,opportunité,opportunity,возможность,ocasión;chance,occasion;chance,chance,шанс,abstract_concepts;noun_thing,B1
iglesia,église,church,церковь,templo,,,храм,religion;noun_place,A2
