verb_id,language,mood,tense,pronoun,conjugated_form
1,FR,Infinitif,Infinitif,,être
1,FR,Indicatif,présent,je,suis
1,FR,Indicatif,présent,tu,es
1,FR,Indicatif,présent,"il (elle, on)",est
1,FR,Indicatif,présent,nous,sommes
1,FR,Indicatif,présent,vous,êtes
1,FR,Indicatif,présent,ils (elles),sont
1,FR,Indicatif,imparfait,je,étais
1,FR,Indicatif,imparfait,tu,étais
1,FR,Indicatif,imparfait,"il (elle, on)",était
1,FR,Indicatif,imparfait,nous,étions
1,FR,Indicatif,imparfait,vous,étiez
1,FR,Indicatif,imparfait,ils (elles),étaient
1,FR,Indicatif,futur,je,serai
1,FR,Indicatif,futur,tu,seras
1,FR,Indicatif,futur,"il (elle, on)",sera
1,FR,Indicatif,futur,nous,serons
1,FR,Indicatif,futur,vous,serez
1,FR,Indicatif,futur,ils (elles),seront
1,FR,Indicatif,passé simple,je,fus
1,FR,Indicatif,passé simple,tu,fus
1,FR,Indicatif,passé simple,"il (elle, on)",fut
1,FR,Indicatif,passé simple,nous,fûmes
1,FR,Indicatif,passé simple,vous,fûtes
1,FR,Indicatif,passé simple,ils (elles),furent
1,FR,Conditionnel,Conditionnel présent,je,serais
1,FR,Conditionnel,Conditionnel présent,tu,serais
1,FR,Conditionnel,Conditionnel présent,"il (elle, on)",serait
1,FR,Conditionnel,Conditionnel présent,nous,serions
1,FR,Conditionnel,Conditionnel présent,vous,seriez
1,FR,Conditionnel,Conditionnel présent,ils (elles),seraient
1,FR,Subjonctif,Subjonctif présent,je,sois
1,FR,Subjonctif,Subjonctif présent,tu,sois
1,FR,Subjonctif,Subjonctif présent,"il (elle, on)",soit
1,FR,Subjonctif,Subjonctif présent,nous,soyons
1,FR,Subjonctif,Subjonctif présent,vous,soyez
1,FR,Subjonctif,Subjonctif présent,ils (elles),soient
1,FR,Subjonctif,Subjonctif imparfait,je,fusse
1,FR,Subjonctif,Subjonctif imparfait,tu,fusses
1,FR,Subjonctif,Subjonctif imparfait,"il (elle, on)",fût
1,FR,Subjonctif,Subjonctif imparfait,nous,fussions
1,FR,Subjonctif,Subjonctif imparfait,vous,fussiez
1,FR,Subjonctif,Subjonctif imparfait,ils (elles),fussent
1,FR,Imperatif,Impératif,,soyez
1,FR,Participe,Participe présent,,étant
1,FR,Participe,Participe passé,masculin singulier,été
1,FR,Indicatif,Passé composé,je,j'ai été
1,FR,Indicatif,Passé composé,tu,as été
1,FR,Indicatif,Passé composé,"il (elle, on)",a été
1,FR,Indicatif,Passé composé,nous,avons été
1,FR,Indicatif,Passé composé,vous,avez été
1,FR,Indicatif,Passé composé,ils (elles),ont été
1,ES,Indicativo,Imperfecto,tú,í
1,ES,Indicativo,Imperfecto,él/ella,ías
1,ES,Indicativo,Imperfecto,vosotros,ió
1,ES,Indicativo,Imperfecto,ellos/ellas,íamos
1,ES,Indicativo,Pretérito pluscuamperfecto,yo,ido
1,ES,Indicativo,Pretérito pluscuamperfecto,tú,ido
1,ES,Indicativo,Pretérito pluscuamperfecto,él/ella,ido
1,ES,Indicativo,Pretérito pluscuamperfecto,nosotros,ido
1,ES,Indicativo,Pretérito pluscuamperfecto,vosotros,ido
1,ES,Indicativo,Pretérito pluscuamperfecto,ellos/ellas,ido
1,ES,Indicativo,Presente,yo,soy
1,ES,Indicativo,Presente,tú,eres
1,ES,Indicativo,Presente,él/ella,es
1,ES,Indicativo,Presente,nosotros,somos
